Name,Description,Latitude,Longitude,InfoURL,ImageURL
USCB,A great university located along the California coast!,34.42,-119.85,"https://en.wikipedia.org/wiki/University_of_California, _Santa_Barbara",https://www.ucsb.edu/sites/default/files/images/home/campus-point-uc-santa-barbara-new.jpg-content/uploads/La goonFall20141.jpg
Costa Mesa,"A diversely cultured beach city in southern California named ""The City of the Arts."" and known for trendy eateries and coffee shops. ",33.64,-117.89,https://www.boboandchichi.com/2017/12/things-costa-mesa-coolest-spot-southern-california/,https://www.costamesaca.gov/Home/ShowPublishedImage/6046/636667481898500000
Paris,"The capital of France, home to the Eiffel Tower and nicknamed ""the City of Love.""",48.86,2.35,https://en.wikipedia.org/wiki/Paris,https://media-cdn.tripadvisor.com/media/photo-c/2560x500/17/15/6d/d6/paris.jpg
Child Legacy International Headquarters,Christian non-profit organization working in Africa to transform lives by providing opportunities that break the generational cycle of poverty.,-14.00,33.46,https://www.childlegacy.org/,https://www.childlegacy.org/wp-content/uploads/2013/11/home-farming.png
Baylor University,A private Christian University in Central Texas.,30.43,-97.70,https://en.wikipedia.org/wiki/Baylor_University,https://www.baylor.edu/content/imglib/2/6/6/6/266618_640.png
Belmont University,"A private Christian University in Nashville, Tennessee known for their incredible music department.",36.59,-88.32,https://en.wikipedia.org/wiki/Belmont_University,https://az589735.vo.msecnd.net/images/profilepics/1023028/301.jpg
